Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Kärlek är ett brev skickat tusen gånger","Håkan Hellström","För sent för Edelweiss","Favorite Songs","Favorite","SEAMA0800185","6lgD5Wvv8e4EY5oLaCBDEy"
"Follow The Sun","Tjuvjakt","Man ska vara seriös","Favorite Songs","Favorite","SEYOK1319041","029EUKiyaj03aIrcEKzP2l"
"Jemma","Dead Calm","Accept","Favorite Songs","Favorite","GX4R52305770","1v8BtlelYuJYXxLLY5T6zd"
"Don't Dream It's Over","Crowded House","Crowded House (Deluxe)","Favorite Songs","Favorite","USCA28600048","56GbZVwxMdf1DENCluYS8A"
"Something - Remastered 2009","The Beatles","Abbey Road (Remastered)","Favorite Songs","Favorite","GBAYE0601691","0pNeVovbiZHkulpGeOx1Gj"
"iloveitiloveitiloveit","Bella Kay","Just In - Pop","Favorite Songs","Favorite","USAT22600011","2fC0ie435gr6J28E9NKSHA"
"Steady","Bella Kay","a couple minutes out","Favorite Songs","Favorite","USAT22600026","4PZQtsDTNlq5hFWmdBb5xh"
"My Moon My Man","Feist","The Reminder","Favorite Songs","Favorite","FRUM70600211","4fQVQKIiidREPI0MhFEuDn"
"Somewhere In Stockholm","Avicii","Stories","Favorite Songs","Favorite","CHB701400227","2K1zp0p7PVmrBUQu6evtfe"
"Champagne Supernova","Oasis","Stop The Clocks","Favorite Songs","Favorite","GBAAW9500197","4mUIJlQ6eFhDObwN3nHv8s"
"Bitter Sweet Symphony - Extended Version","The Verve","Urban Hymns (Super Deluxe / Remastered 2016)","Favorite Songs","Favorite","GBAAA9710584","1KkP6yoIZ6bKfPCwP4KqFW"
"Let It Be - Single Version / 2021 Mix","The Beatles","Let It Be (Super Deluxe)","Favorite Songs","Favorite","GBUM72006948","3rXH3lBfuQVG9qwpANKWHt"
"Pink Panther","Otismadeit","Pink Panther","Favorite Songs","Favorite","QZZ7T2475320","56F6pbnAFsVAXgGtUBEufl"
"Attracted to You","PinkPantheress","Attracted To You","Favorite Songs","Favorite","QZFZ52144176","4fPjI40ElIwJQ4DJJxSCOe"
"We R Who We R","Kesha","Cannibal (Expanded Edition)","Favorite Songs","Favorite","USRC11000862","3LUWWox8YYykohBbHUrrxd"
"Weird Fishes / Arpeggi","Radiohead","In Rainbows","Favorite Songs","Favorite","GBSTK0700004","4wajJ1o7jWIg62YqpkHC7S"
"Futile Devices (Doveman Remix)","Sufjan Stevens","Call Me By Your Name (Original Motion Picture Soundtrack)","Favorite Songs","Favorite","US64G1737301","5vTSnZTmS1gMiWuA9kDE19"
"None Of Ur Friends Business - Radio Edit","Ginuwine","Pony","Favorite Songs","Favorite","USSM19910761","0l9z2opTpEw5qxqX8AoOzH"
"Distant Lover","Marvin Gaye","Let's Get It On","Favorite Songs","Favorite","USMO17300042","4Yu2vdSKkFrBM5agrx5XRN"
"Me & U","Cassie","Cassie (U.S. Version)","Favorite Songs","Favorite","USBB40610361","7k6IzwMGpxnRghE7YosnXT"
"Trace Me Onto You","Title Fight","Hyperview","Favorite Songs","Favorite","USEP41425007","44hefqJU1vD0pusdtWgQ20"
"Distant Lover","Marvin Gaye","Forårshygge - Hyggelig musik til afslapning - Hyggelige sange til gode tider","Favorite Songs","Favorite","USMO17300042","0m3KoHVdYeoeyA9nO4mKww"
"Close Up","Olivia Dean","The Art of Loving","Favorite Songs","Favorite","GBUM72503086","15yaPgTazHHemSnHYYl8HO"
"Right Here","Justin Bieber","Believe","Favorite Songs","Favorite","USUM71205295","2Rmuzh89p29BeTIF63Opwo"
"ideology","copperplate","contentment","Favorite Songs","Favorite","GXBDS2427677","1Xnco9wBPYyUPGRogkH8kw"
"forever, with you","Paradise Blossom","forever, with you","Favorite Songs","Favorite","QZHN52320105","7EJGWPM6V11qjctiMRB8RH"
"På Meg (Shook Ones)","Fjellrev","På Meg (Shook Ones)","Favorite Songs","Favorite","QZRP52314143","4SImzir5bfvIlREEDEm1q5"
"Ta meg med","Broiler","Ta meg med","Favorite Songs","Favorite","NONUQ2524010","0Rby7g9tnA6QD3CHKUVHWi"
"The Beach","The Neighbourhood","Wiped Out!","Favorite Songs","Favorite","USSM11506746","2u0CelO5c81XS7z3dGpHbS"
"Ballin'","PARTYNEXTDOOR","PARTYNEXTDOOR","Favorite Songs","Favorite","USWB11302164","2EsMSovwzdYcyfz90IxiT3"
"Gypsy","Fleetwood Mac","Greatest Hits","Favorite Songs","Favorite","USWB19900203","19Ym5Sg0YyOCa6ao21bdoG"
"the rot","Dean Blunt","BLACK METAL 2","Favorite Songs","Favorite","GBCVZ2100118","3ESXgEbWaaoCJcHkiG6yF1"
"Jigsaw Falling Into Place","Radiohead","In Rainbows","Favorite Songs","Favorite","GBSTK0700009","0YJ9FWWHn9EfnN0lHwbzvV"
"Everything is romantic featuring caroline polachek","Charli xcx","Everything is romantic featuring caroline polachek","Favorite Songs","Favorite","USAT22408053","4cCnCDJZDLGDIdnxRfOUBn"
"Kyoto","Yung Lean","Kyoto","Favorite Songs","Favorite","SEY491300022","7vQ8hT2jlA6RhxI4ZxISVd"
"Just the Way You Are","Milky","Star","Favorite Songs","Favorite","ITC330200008","2kJo0J02qdTsD1omMouIro"
"Yosemite","KETTAMA","Archangel","Favorite Songs","Favorite","USZXT2456013","6Z3cE0ZK0tmj7131PFIOeZ"
"Long Time","nyeroh","Feliz Nyevidad","Favorite Songs","Favorite","QZZ7W2480053","6COGkHoxeAGZTnVXgmk9Ts"
"Fashion Killa","A$AP Rocky","LONG.LIVE.A$AP (Deluxe Version)","Favorite Songs","Favorite","USRC11201457","0O3TAouZE4vL9dM5SyxgvH"
"I'm Still Here","Goldn","Phantasy Feels","Favorite Songs","Favorite","GBKPL1781473","1BuODghkEE0RyqDVjCV9dY"
"Stop Waiting","Cigarettes After Sex","Bubblegum","Favorite Songs","Favorite","USBQU1900064","5ZP8LfM7TezqoxF9yp6VzX"
"Good Life (Remastered)","Inner City","Good Life (Remastered)","Favorite Songs","Favorite","NLF711709031","1F0uekJ6dni1ywjlSx3nsA"
"Tongue","Maribou State","Tongue","Favorite Songs","Favorite","GBEFR1308386","1dyJpJgwj2BqdwBU8Jo804"
"I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino)","A$AP Rocky","Don't Be Dumb","Favorite Songs","Favorite","USRC12302098","3jnYCrF7UpSYAwwy1URW8d"
"Sandbox Treehouse","Paradise Blossom","Demos From My Diary","Favorite Songs","Favorite","QZMEP2192948","2Gjv5DX7O8TuhLx6mJB1Av"
"Children - Dream Version","Robert Miles","Dreamland","Favorite Songs","Favorite","GBARS9600002","7cEkyAXkwXCxTR3IKE0XHu"
"Man Of The Year","Jireel","18","Favorite Songs","Favorite","SE4NC1700801","1yiCArnIEC4vCZ3vxsN4UE"
"Selfiestick","IJustWantToBeCool","Selfiestick - Single","Favorite Songs","Favorite","SEWDL6141522","1xn0w7ApNK98jUVR9lYqf4"
"#Självis","IJustWantToBeCool","#Självis","Favorite Songs","Favorite","TCABW1470833","40LwDWElukOcngCvXM8ciG"
"The Coin","IJustWantToBeCool","The Coin","Favorite Songs","Favorite","TCADS1812797","4Zl097FSGhRBlsDCTpPKHa"
"bellyache","Billie Eilish","dont smile at me","Favorite Songs","Favorite","USUM71615103","1ni8ZTAY1GHXEFOGHl7fdg"
"Let Me Know (I Wonder Why Freestyle)","Juice WRLD","Let Me Know (I Wonder Why Freestyle)","Favorite Songs","Favorite","USUG11903494","3wwo0bJvDSorOpNfzEkfXx"
"the kill 2","Lex Amarni","the kill 2","Favorite Songs","Favorite","QT6FE2517504","3R9ABUfepu50aVNh08RAdL"
"Dead Man Walking","Brent Faiyaz","Dead Man Walking","Favorite Songs","Favorite","QM24S2006908","5VlTQnZO89Ioku8ssdbqJk"
"ANGELWITHNOWINGS","BLONDE SUPPERMACY","ANGELWITHNOWINGS","Favorite Songs","Favorite","QZZ772538208","5G35TRr9gHhV0GxCvIVC1t"
"Don't Look Back In Anger","Oasis","(What's The Story) Morning Glory?","Favorite Songs","Favorite","GBAAW9500190","7ppPZa3TRUSGKaks9wH7VT"
"late calls","healed.","late calls","Favorite Songs","Favorite","SE5752546618","35D75Q3me1uBydvUz9WH71"
"Hey Brother","Avicii","True (Bonus Edition)","Favorite Songs","Favorite","CH3131340084","3RreQwfX4DKTrvKi1F2UIf"
"Stay with Us","Seoul","I Become a Shade","Favorite Songs","Favorite","CAL451460507","46wrbh0WwMV5N8WqtfBdlz"
"Lady Lady","Olivia Dean","Lady Lady","Favorite Songs","Favorite","GBUM72503085","1XwbJNPOcLuSRTQNR9zz4r"
"Can I Call You Tonight?","Dayglow","Fuzzybrain","Favorite Songs","Favorite","TCADL1825079","61OJxhoY3Ix50rYVKo8zRK"
"Wassup","A$AP Rocky","LIVE.LOVE.A$AP","Favorite Songs","Favorite","USRC12103089","1bjTEsJdDdbuA5JsdRRxhP"
"Spike Lee","Big Tweezy","My Brothers Keeper","Favorite Songs","Favorite","QZK6L2188803","2NIzwXfEXaw2wKmnDrcxVg"
"Fade - Grant Nelson Big Room Extended Remix","Solu Music","Fade","Favorite Songs","Favorite","GBCEN1101842","1oFswzmGZPUYLaox2dfOoP"
